# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20150101-20171231
# ----------------------------------------

Day Index,Sessions,Users
9/21/17,141,135
9/22/17,104,93
9/23/17,66,59
9/24/17,69,65
9/25/17,137,124
9/26/17,132,119
9/27/17,138,123
9/28/17,128,117
9/29/17,86,78
9/30/17,46,45
10/1/17,84,76
10/2/17,127,118
10/3/17,354,321
10/4/17,245,215
10/5/17,178,160
10/6/17,108,89
10/7/17,94,83
10/8/17,121,109
10/9/17,121,113
10/10/17,180,160
10/11/17,147,132
10/12/17,181,159
10/13/17,81,77
10/14/17,82,80
10/15/17,77,75
10/16/17,124,115
10/17/17,162,146
10/18/17,146,132
10/19/17,153,138
10/20/17,123,109
10/21/17,112,102
10/22/17,94,86
10/23/17,160,144
10/24/17,174,165
10/25/17,136,116
10/26/17,140,117
10/27/17,110,95
10/28/17,73,65
10/29/17,106,94
10/30/17,171,155
10/31/17,183,168
11/1/17,159,143
11/2/17,109,102
11/3/17,92,85
11/4/17,71,63
11/5/17,84,75
11/6/17,132,122
11/7/17,126,119
11/8/17,112,106
11/9/17,127,114
11/10/17,121,109
11/11/17,76,68
11/12/17,84,82
11/13/17,128,117
11/14/17,129,117
11/15/17,114,108
11/16/17,143,130
11/17/17,92,86
11/18/17,75,61
11/19/17,104,95
11/20/17,103,99
11/21/17,80,75
11/22/17,88,75
11/23/17,85,75
11/24/17,77,72
11/25/17,57,49
11/26/17,74,68
11/27/17,302,263
11/28/17,214,184
11/29/17,152,134
11/30/17,139,124
12/1/17,142,125
12/2/17,101,86
12/3/17,88,83
12/4/17,150,141
12/5/17,105,92
12/6/17,127,111
12/7/17,133,121
12/8/17,112,99
12/9/17,78,76
12/10/17,116,110
12/11/17,131,124
12/12/17,140,123
12/13/17,115,104
12/14/17,124,111
12/15/17,109,94
12/16/17,60,58
12/17/17,56,52
12/18/17,103,90
12/19/17,103,89
12/20/17,81,71
12/21/17,69,63
12/22/17,57,49
12/23/17,40,38
12/24/17,32,28
12/25/17,35,30
12/26/17,46,45
12/27/17,71,67
12/28/17,67,58
12/29/17,64,56
12/30/17,195,178
12/31/17,63,61
,"95,723","86,902"
